node_id,label,cluster,degree_centrality,pagerank,closeness_centrality,betweenness_centrality,clustering_coefficient,within_cluster_degree,within_cluster_pagerank,within_cluster_closeness,participation_coefficient
35,"Drummond, 2014",1,0.07894736842105263,0.004906617864543325,0.42696629213483145,0.000509162141403633,0.75,0.28,0.029287649285897423,0.5102040816326531,0.345679012345679
68,"Huston, 1999",1,0.09649122807017543,0.0056658238636708574,0.4672131147540984,0.003252992157388108,0.5454545454545454,0.32,0.03261637654271465,0.5681818181818182,0.4297520661157025
193,"Orben, 2019",6,0.14912280701754385,0.006774659271000206,0.48717948717948717,0.003622875836214529,0.5882352941176471,0.5384615384615385,0.062411015548885236,0.6842105263157895,0.71280276816609
194,"Orben, 2019",6,0.19298245614035087,0.00824218652386573,0.5112107623318386,0.005257160729086663,0.5974025974025974,0.6153846153846154,0.0688968336338653,0.7222222222222222,0.6776859504132231
195,"Orben, 2019",6,0.18421052631578946,0.00811440101178177,0.4830508474576271,0.003496132544124042,0.580952380952381,0.9230769230769231,0.09763957699927514,0.9285714285714286,0.5986394557823129
217,"Przybylski, 2017",6,0.2631578947368421,0.011510196205133811,0.5560975609756098,0.024178112727532,0.35172413793103446,0.8461538461538463,0.09094503206113122,0.8666666666666667,0.7377777777777779
247,"Anonymous, 1990",5,0.07894736842105263,0.004540823490994628,0.41911764705882354,0.0006072622397329426,0.6944444444444444,0.5384615384615385,0.0665440293289235,0.6842105263157895,0.345679012345679
503,"Carter, 2016",2,0.10526315789473684,0.00575770431141754,0.4596774193548387,0.0014663564751184162,0.803030303030303,0.5238095238095237,0.03665735961576281,0.6774193548387096,0.1527777777777779
546,"Wellman, 2001",3,0.32456140350877194,0.012688955940028094,0.5728643216080402,0.008782039305356015,0.5330330330330331,0.7368421052631579,0.05569339841417897,0.7916666666666666,0.7348429510591672
618,"Ferguson, 2011",1,0.09649122807017543,0.005658173681333407,0.4351145038167939,0.0007907840019099663,0.6909090909090909,0.4,0.0390242556499561,0.5813953488372093,0.16528925619834722
619,"Ferguson, 2015",1,0.07894736842105263,0.004906617864543325,0.42696629213483145,0.000509162141403633,0.75,0.28,0.029287649285897423,0.5102040816326531,0.345679012345679
632,"Haythornthwaite, 2005",4,0.2982456140350877,0.011647045378970365,0.5615763546798029,0.005320580671704547,0.5935828877005348,0.6666666666666666,0.04496173049232155,0.75,0.6937716262975777
681,"Sanders, 2000",3,0.16666666666666666,0.007153215830964075,0.4892703862660944,0.0016162640249904208,0.6374269005847953,0.5263157894736842,0.04261013698330314,0.6785714285714286,0.6094182825484765
736,"Huang, 2009",4,0.3421052631578947,0.013344017917989682,0.5816326530612245,0.010775893621096613,0.5155195681511471,0.9444444444444444,0.06059960083720119,0.9473684210526315,0.7034845496383958
737,"Huang, 2017",6,0.15789473684210525,0.007040995766186168,0.47107438016528924,0.0018658928064552104,0.6143790849673203,0.6153846153846154,0.06735886491246683,0.7222222222222222,0.49382716049382713
738,"Hinsch, 2013",4,0.20175438596491227,0.00859538865370868,0.5277777777777778,0.01836681031460601,0.5652173913043478,0.8333333333333333,0.054029708697963294,0.8571428571428571,0.5179584120982986
739,"Sagioglou, 2014",4,0.21052631578947367,0.008698730451067681,0.4956521739130435,0.002630908071286318,0.6630434782608695,0.8333333333333333,0.05420099283294147,0.8571428571428571,0.5486111111111112
756,"Shen, 2011",3,0.32456140350877194,0.012912758982106361,0.5643564356435643,0.012136212616265192,0.5,0.8421052631578947,0.06316981971729121,0.8636363636363636,0.7056245434623812
855,"Romer, 2013",1,0.07894736842105263,0.004781267341649503,0.4578313253012048,0.0024522782937529274,0.5555555555555556,0.24,0.026923247532601263,0.5434782608695652,0.5185185185185186
891,"Buysse, 1989",2,0.11403508771929824,0.0062017820909731815,0.4028268551236749,0.0003416469087560533,0.8333333333333334,0.5714285714285714,0.039130948444754204,0.7,0.14201183431952646
893,"King, 2013",2,0.16666666666666666,0.00852446618999908,0.4691358024691358,0.00673688320700784,0.6257309941520468,0.6190476190476191,0.04088103816404586,0.7241379310344828,0.45983379501385047
910,"Hill, 2016",1,0.14912280701754385,0.007559846698904625,0.5158371040723982,0.005397851814931429,0.49264705882352944,0.36,0.03508426462808909,0.5813953488372093,0.643598615916955
921,"Mutz, 1993",1,0.14912280701754385,0.00794367738790199,0.5089285714285714,0.018552628019998404,0.3161764705882353,0.4,0.04040173315404649,0.625,0.602076124567474
932,"Ahn, 2013",4,0.19298245614035087,0.008421603631161855,0.4935064935064935,0.007523237621345203,0.5584415584415584,0.611111111111111,0.041384333668352105,0.72,0.6735537190082644
934,"Liu, 2016",4,0.2631578947368421,0.010397226649232106,0.5229357798165137,0.003296918958876486,0.6252873563218391,0.9444444444444444,0.06032596494063307,0.9473684210526315,0.5800000000000001
962,"Waal, 2010",5,0.09649122807017543,0.004905782438511269,0.43846153846153846,0.0013654048980823827,0.8181818181818182,0.5384615384615385,0.06482535180782095,0.6842105263157895,0.5454545454545454
964,"Diener, 1984",3,0.16666666666666666,0.0071100503220003376,0.504424778761062,0.002049702221194374,0.631578947368421,0.5263157894736842,0.042325692544782766,0.6785714285714286,0.5817174515235458
966,"Diener, 1985",4,0.27192982456140347,0.010750647919462692,0.5480769230769231,0.005354771927485945,0.578494623655914,0.8333333333333333,0.05401730847637899,0.8571428571428571,0.6285119667013527
984,"Hastings, 2009",2,0.3070175438596491,0.013378037897338744,0.5906735751295337,0.06215063253311625,0.39327731092436974,0.6190476190476191,0.04088103816404586,0.7241379310344828,0.7657142857142857
